Category: Affixes
The words in the alphabetical list may be extended by the use of one or more of these affixes

Category: Cardinal numbers
one|n|wʌn|NULL|один|One ticket, please.|Один квиток, будь ласка.
two|n|tuː|NULL|два
three|n|θriː|NULL|три
four|n|fɔːr|NULL|чотири
five|n|faɪv|NULL|п'ять
six|n|sɪks|NULL|шість
seven|n|ˈsɛvn|NULL|сім
eight|n|eɪt|NULL|вісім
nine|n|naɪn|NULL|дев'ять
ten|n|tɛn|NULL|десять

Category: Clothes and Accessories
T-shirt|n|ˈtiːˌʃɜːrt|3521|футболка|He wore a white T-shirt and jeans.|Він носив білу футболку і джинси.
backpack|n|ˈbækpæk|NULL|рюкзак|He carried all his belongings in a backpack.|Він носив усі свої речі в рюкзаку.
belt|n|bɛlt|2453|пояс; ремінь|He tightened his belt.|Він затягнув свій ремінь.
blouse|n|blaʊz|NULL|блузка|She matched her skirt with a new blouse.|Вона підібрала спідницю з новою блузкою.
boot|n|buːt|2369|чобіт; бутс|He put on his boots before going out.|Він взув чоботи перед виходом.
button|n|ˈbʌtən|2668|кнопка; ґудзик|He pressed the button to start the machine.|Він натиснув кнопку, щоб запустити машину.
cap|n|kæp|2326|ковпак; кришка|He put on his baseball cap.|Він одягнув бейсболку.
cloth|n|klɔθ|3575|тканина; матеріал|She bought some cloth for sewing.|Вона купила трохи тканини для шиття.
collar|n|ˈkɒlər|4597|комір; нашийник|He fixed the collar of his shirt.|Він поправив комір своєї сорочки.
costume|n|ˈkɒstjuːm|4191|костюм; маскарадний костюм|She wore a beautiful costume to the party.|Вона одягла гарний костюм на вечірку.
cotton|n|ˈkɒtən|3161|бавовна; ватне волокно|This shirt is made of cotton.|Ця сорочка зроблена з бавовни.
dress|n|dres|1757|сукня; одяг|She bought a beautiful red dress.|Вона купила гарну червону сукню.
dry cleaning|n|ˈdraɪ ˈkliːnɪŋ|NULL|хімчистка|She picked up her dry cleaning.|Вона забрала свої речі з хімчистки.
earring|n|ˈɪərɪŋ|NULL|сережка|She bought a new pair of earrings.|Вона купила нову пару сережок.
fashion|n|ˈfæʃən|1936|мода; стиль|She loves fashion.|Вона обожнює моду.
fasten|v|ˈfɑːsən|NULL|закріплювати; прикріплювати|Fasten your seatbelt.|Пристебніть ремінь безпеки.
fit|adj|fɪt|3428|підходящий; здоровий|He is very fit.|Він у чудовій фізичній формі.
fold|v|fəʊld|3525|складати; згинати|He folded the paper.|Він склав папір.
glasses|n|ˈɡlɑːsɪz|NULL|окуляри|He wears glasses for reading.|Він носить окуляри для читання.
glove|n|ɡlʌv|3121|рукавичка|She put on her gloves before going out.|Вона одягнула рукавички перед виходом.
go with|v phr|ɡəʊ wɪð|NULL|іти з; підходити до|Does this shirt go with these pants?/She decided to go with the flow.|Чи підходить ця сорочка до цих штанів?/Вона вирішила йти за течією.
handbag|n|ˈhændˌbæɡ|NULL|сумка|She carries everything in her handbag.|Вона носить усе в своїй сумці.
handkerchief|n|ˈhæŋkətʃɪf|NULL|носовичок|She pulled out a handkerchief to wipe her nose.|Вона дістала носовичок, щоб витерти ніс.
hat|n|hæt|2033|капелюх|He wore a hat to protect from the sun.|Він одягнув капелюх, щоб захиститися від сонця.
jacket|n|ˈdʒækɪt|2287|куртка|He wore a lightweight jacket.|Він одягнув легку куртку.
jeans|n|dʒiːnz|3450|джинси|He wore his favorite jeans.|Він одягнув свої улюблені джинси.
jewellery|n|ˈdʒuːəlri|NULL|коштовності; прикраси|She inherited some beautiful jewellery.|Вона успадкувала красиві коштовності.
knit|v|nɪt|NULL|в'язати|She learned to knit scarves.|Вона навчилася в'язати шарфи.
laundry|n|ˈlɔːndri|4992|пральня; прання|I need to do the laundry.|Мені потрібно випрати одяг.
leather|n|ˈleðə|2967|шкіра|This jacket is made of leather.|Ця куртка зроблена зі шкіри.
lipstick|n|ˈlɪpˌstɪk|NULL|помада|She chose a bright red lipstick.|Вона вибрала яскраво-червону помаду.
make-up|n|ˈmeɪkʌp|NULL|макіяж; косметика|She applied her make-up before the event.|Вона нанесла макіяж перед заходом.
match|n/v|mætʃ|2704|матч; збіг; підходити; відповідати|The match was exciting./This tie matches your shirt.|Матч був захоплюючим./Ця краватка підходить до твоєї сорочки.
material|n/adj|məˈtɪərɪəl|642|матеріал; матеріальний|We use only natural materials./He has material needs.|Ми використовуємо тільки натуральні матеріали./У нього є матеріальні потреби.
old-fashioned|adj|ˌoʊldˈfæʃənd|4791|старомодний|She has an old-fashioned taste in music.|У неї старомодний смак до музики.
pants|n|pænts|NULL|штани; трусики|He wore black pants to the meeting.|Він одягнув чорні штани на зустріч.
pattern|n|ˈpætərn|1020|візерунок; модель|The dress has a beautiful floral pattern.|Сукня має красивий квітковий візерунок.
perfume|n|ˈpɜːrfjuːm|NULL|парфум; духи|She wears a light floral perfume.|Вона носить легкі квіткові парфуми.
plastic|n|ˈplæstɪk|1532|пластик|This bottle is made of plastic.|Ця пляшка зроблена з пластику.
pocket|n|ˈpɒkɪt|1629|кишеня|He put his keys in his pocket.|Він поклав ключі в кишеню.
pullover|n|ˈpʊlˌoʊvər|NULL|светр|He wore a warm pullover in the cold weather.|Він одягнув теплий светр у холодну погоду.
put on|v|pʊt ɒn|NULL|одягнути; увімкнути|Put on your jacket, it's cold outside./Put on the lights.|Одягни свою куртку, на вулиці холодно./Увімкни світло.
